,filename,cough_detected,nframes,duration,status
8,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/002db0bd-e57f-4c30-ade0-16640d424eb7.webm,0.9536,165375.0,7.5,
9,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/002ddcbd-41a3-471c-938f-a286f3d7e7a7.webm,0.9846,218295.0,9.9,
10,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0033d1d5-ae8c-42f6-a557-822d6ab691cf.webm,0.9712,31752.0,1.44,
11,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00343395-c86c-47e3-a10f-fa3036f4572f.webm,0.824,219618.0,9.96,
13,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/003a3f57-fab4-4853-a246-d6891186bc84.webm,0.9985,218295.0,9.9,
14,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/003c7941-a3ef-4daf-b8a8-5c77c82504b0.webm,0.9882,93933.0,4.26,
17,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00420d07-89f8-464d-88dd-8e893f0c3f56.webm,0.985,211680.0,9.6,
26,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/005ae1c2-7bc2-44c9-bc88-cf0af4ca762f.webm,0.9917,213003.0,9.66,
29,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/005d63f8-a8e2-4684-a2bc-d65ffbb13707.webm,0.9794,215649.0,9.78,
30,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0063937c-5758-4d7b-803f-0c53f102e5fb.webm,0.9948,199773.0,9.06,
31,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0066b126-104a-45a6-a88e-0697c6baa0aa.webm,0.9729,216972.0,9.84,
34,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/006e496e-1dc5-4cac-b16b-f6051d5e5fa1.webm,0.8904,219618.0,9.96,
38,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00753f6f-1310-45c7-b10a-9580e29a6201.webm,0.9818,58212.0,2.64,
